origin_idx,origin_time,test_end_time,selected_L_train_days,selected_L_obs_hours,pr_auc_fused,pr_auc_b1,pr_auc_b2,roc_auc_fused,recall_at_100,lift_at_100,positives
0,2023-06-15 09:40:00+00:00,2023-06-16 09:35:00+00:00,7,6,0.04556199071681107,0.01232060444418331,0.023274813476944347,0.38774788369071717,0.07047619047619047,1.4038857142857142,1575
1,2023-06-16 09:40:00+00:00,2023-06-17 09:35:00+00:00,14,6,0.005523645744089605,0.004537342422149522,0.007936902231618682,0.46351847244211425,0.022727272727272728,0.4527272727272727,528
2,2023-06-17 09:40:00+00:00,2023-06-18 09:35:00+00:00,21,6,0.0077032966754292075,0.009202262532808259,0.004224148506007006,0.6617018403681215,0.07077625570776255,1.4098630136986303,438
3,2023-06-18 09:40:00+00:00,2023-06-19 09:35:00+00:00,21,24,0.021967539196709,0.022850585646888903,0.012868720290546018,0.4834597283712797,0.16999260901699925,3.3862527716186253,1353
4,2023-06-19 09:40:00+00:00,2023-06-20 09:35:00+00:00,21,6,0.0336846018273768,0.036587403219428286,0.023437267057902084,0.6082964468639179,0.1140177690029615,2.271233958538993,2026
5,2023-06-20 09:40:00+00:00,2023-06-21 09:35:00+00:00,14,6,0.018331958181817314,0.025216919482097797,0.009245138803772118,0.6277657521617517,0.16047430830039525,3.1966482213438736,1265
6,2023-06-21 09:40:00+00:00,2023-06-22 09:35:00+00:00,21,6,0.005703971509525885,0.005524100006695797,0.004676350558677605,0.6366957899981561,0.021686746987951807,0.43199999999999994,415
7,2023-06-22 09:40:00+00:00,2023-06-23 09:35:00+00:00,21,6,0.010012363371247883,0.009696546153161905,0.01607600625157396,0.610875426005028,0.0659090909090909,1.3129090909090908,440
8,2023-06-23 09:40:00+00:00,2023-06-24 09:35:00+00:00,21,1,0.015860010882002836,0.016710902816223415,0.01937009396263603,0.26774443540655146,0.02457002457002457,0.4894348894348895,2442
9,2023-06-24 09:40:00+00:00,2023-06-25 09:35:00+00:00,21,24,0.04335609402504874,0.0326111044602167,0.07734000787661922,0.6405869432816103,0.14489311163895488,2.886270783847981,2105
10,2023-06-25 09:40:00+00:00,2023-06-26 09:35:00+00:00,7,1,0.00041270664796049905,0.0006746934106730562,0.0002532107834215028,0.48316695870333515,0.07894736842105263,1.5726315789473684,38
11,2023-06-26 09:40:00+00:00,2023-06-27 09:35:00+00:00,7,24,0.022135582194931527,0.017345662375318212,0.008679282710861717,0.729448117798296,0.2176360225140713,4.3353095684803,533
12,2023-06-27 09:40:00+00:00,2023-06-28 09:35:00+00:00,7,1,0.003799915810891183,0.001261233840750595,0.00041474932748663184,0.48076715518105356,0.2631578947368421,5.242105263157894,38
13,2023-06-28 09:40:00+00:00,2023-06-29 09:35:00+00:00,14,6,0.015528633109751677,0.016787581765726454,0.009179091241262082,0.7079284604951546,0.10133333333333333,2.01856,750
14,2023-06-29 09:40:00+00:00,2023-06-30 09:35:00+00:00,21,1,0.025861781204975533,0.02146517159462949,0.024141148881618054,0.6896394958562114,0.10752688172043011,2.141935483870968,1395
15,2023-06-30 09:40:00+00:00,2023-07-01 09:35:00+00:00,21,24,0.003435069771850945,0.0035952926355400277,0.001967242791942305,0.7336066882805609,0.09146341463414634,1.8219512195121952,164
16,2023-07-01 09:40:00+00:00,2023-07-02 09:35:00+00:00,14,24,0.015612274623503447,0.015886376872363675,0.0054553557113581775,0.8414004082834088,0.22538860103626943,4.489740932642487,386
17,2023-07-02 09:40:00+00:00,2023-07-03 09:35:00+00:00,21,24,0.01757833400362264,0.01850792508319056,0.0051685739679856275,0.8298573447902011,0.208067940552017,4.1447133757961785,471
18,2023-07-03 09:40:00+00:00,2023-07-04 09:35:00+00:00,14,24,0.03425062439254126,0.03722288248750706,0.018800036305836924,0.6777483152742788,0.12321063394683027,2.4543558282208586,1956
19,2023-07-04 09:40:00+00:00,2023-07-05 09:35:00+00:00,21,1,0.027628178759660393,0.024428273858541266,0.029452978855379466,0.6168139444704122,0.13702848344880678,2.729607390300231,1299
20,2023-07-05 09:40:00+00:00,2023-07-06 09:35:00+00:00,14,1,0.023898963392483798,0.01983679746281296,0.0233129607272655,0.6559283854172222,0.05367057371992597,1.0691178285009253,1621
21,2023-07-06 09:40:00+00:00,2023-07-07 09:35:00+00:00,14,1,0.04540140408067242,0.004903836323670808,0.04191464544522376,0.7066071954934661,0.24045801526717558,4.789923664122138,262
22,2023-07-07 09:40:00+00:00,2023-07-08 09:35:00+00:00,7,24,0.008470449268622685,0.007813054565043984,0.005738895919380701,0.7580339414396239,0.004842615012106538,0.09646489104116224,413
23,2023-07-08 09:40:00+00:00,2023-07-09 09:35:00+00:00,7,24,0.006321791032819411,0.005765170331596358,0.0045942228038854645,0.5885846199299418,0.17287234042553193,3.4436170212765957,376
24,2023-07-09 09:40:00+00:00,2023-07-10 09:35:00+00:00,21,1,0.004513430526148845,0.005755836095444217,0.003207179011880978,0.5790653284504795,0.02535211267605634,0.5050140845070422,355
25,2023-07-10 09:40:00+00:00,2023-07-11 09:35:00+00:00,7,24,0.04395475607647247,0.038274719712223855,0.007242322929126737,0.7226752076049352,0.31305903398926654,6.23613595706619,559
26,2023-07-11 09:40:00+00:00,2023-07-12 09:35:00+00:00,14,24,0.007246104145835116,0.007114352252658145,0.006167445451423355,0.5370242661482416,0.08333333333333333,1.66,456
27,2023-07-12 09:40:00+00:00,2023-07-13 09:35:00+00:00,14,24,0.04147642011080274,0.08099899335831606,0.0703400430361052,0.710531097001224,0.21875,4.3575,1376
28,2023-07-13 09:40:00+00:00,2023-07-14 09:35:00+00:00,14,24,0.3563384138156432,0.07534203217222156,0.5994334199688885,0.990798462682347,0.968,19.28256,125
29,2023-07-14 09:40:00+00:00,2023-07-15 09:35:00+00:00,14,6,0.010878494597579107,0.013215658757710191,0.0018847617935212858,0.9012321465999941,0.3826530612244898,7.622448979591837,196
30,2023-07-15 09:40:00+00:00,2023-07-16 09:35:00+00:00,14,6,0.03257059813326789,0.018074857670115352,0.03598053311699009,0.9384481948168977,0.5134228187919463,10.22738255033557,298
31,2023-07-16 09:40:00+00:00,2023-07-17 09:35:00+00:00,7,1,0.09428969344603633,0.07936554889296718,0.004305216705798611,0.9145484593833187,0.35185185185185186,7.0088888888888885,162
32,2023-07-17 09:40:00+00:00,2023-07-18 09:35:00+00:00,7,1,0.07966524136251127,0.011641039742956253,0.058070304319556086,0.7687373832634131,0.2889344262295082,5.755573770491803,488
33,2023-07-18 09:40:00+00:00,2023-07-19 09:35:00+00:00,7,1,0.3578094357175,0.05644314193747246,0.3781405842469261,0.9534317455518828,0.8292682926829268,16.519024390243903,738
34,2023-07-19 09:40:00+00:00,2023-07-20 09:35:00+00:00,7,1,0.0,0.0,0.0,0.5,0.0,0.0,0
35,2023-07-20 09:40:00+00:00,2023-07-21 09:35:00+00:00,7,24,0.00011381738990966823,0.00013485972915312712,0.00016981377884351206,0.43005435616361937,0.0,0.0,12
36,2023-07-21 09:40:00+00:00,2023-07-22 09:35:00+00:00,7,1,0.00780646846142539,0.00801721834373072,0.004357243969984323,0.7634746757394354,0.1909722222222222,3.8041666666666663,288
37,2023-07-22 09:40:00+00:00,2023-07-23 09:35:00+00:00,14,24,0.016324886103044,0.017868359054160537,0.004813669913994712,0.8577426192324795,0.6116504854368932,12.184077669902912,206
38,2023-07-23 09:40:00+00:00,2023-07-24 09:35:00+00:00,14,24,0.01775316460139543,0.017204530880328698,0.013317902675821499,0.7019449261162105,0.24804177545691905,4.940992167101827,383
39,2023-07-24 09:40:00+00:00,2023-07-25 09:35:00+00:00,14,24,0.06641987000920185,0.05823430722964943,0.059415601474672716,0.5194291202058654,0.14431528210944145,2.874760419620074,3527
40,2023-07-25 09:40:00+00:00,2023-07-26 09:35:00+00:00,7,1,0.08815487864647666,0.045140760516611395,0.0812760552231626,0.7516973288902571,0.336935791481246,6.711760966306421,1573
41,2023-07-26 09:40:00+00:00,2023-07-27 09:35:00+00:00,7,6,0.032290243355407915,0.033627753965747166,0.013450948710427707,0.6901879956600259,0.24862888482632542,4.952687385740402,1094
