origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_lambda,adst_action,adwin_triggered,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,pr_auc_b1_normalized,pr_auc_b2_normalized,roc_auc_fused,recall_at_100,lift_at_100,positives,test_prevalence
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.003451124440506554,0.005321737598198773,0.0025254012112523438,0.0009958242679723912,0.0028710462480931614,6.78202389899884e-05,0.5306447356592496,0.11914893617021277,2.3734468085106384,235,0.0024577476572958503
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.015121422401972695,0.029008358475076528,0.015042384441105276,-0.006317123239326974,0.007872099551746836,-0.006397881675154447,0.34897548726979793,0.02847324496809033,0.5671870397643594,2037,0.021303965863453816
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.08118376742496816,0.13011860512248014,0.059828944314065796,0.04251004976465065,0.093504594321676,0.020256384893669103,0.5221200710313519,0.13516312791299845,2.692449508026929,3862,0.040390729585006696
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.014812144364032961,0.04385253265198815,0.013658767755642825,-0.002060740851526759,0.02747700957441545,-0.003233870840972446,0.3751125440255366,0.1062111801242236,2.1157267080745337,1610,0.01683818607764391
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.0037937493446827055,0.007545138898919279,0.003491409485349483,-0.0017274013046600389,0.0020447791117696665,-0.0020314167847892382,0.3287454679180713,0.013282732447817837,0.2645920303605313,527,0.005511629852744311
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.0049938167417020556,0.004945842383355644,0.005884912197960726,0.0008033270133338626,0.0007551506099557132,0.0016981753370814761,0.5023155103890748,0.059850374064837904,1.1922194513715711,401,0.004193858768406961
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.005158537990075243,0.007319860649694731,0.0046124083622753435,0.0009792342511661318,0.0031496365724375257,0.0004308103466572766,0.599886350508318,0.0,0.0,400,0.004183400267737617
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.029841060143057496,0.0037621051557509347,0.02983071115606022,0.028001077242506268,0.0018726614614374326,0.02799070862783941,0.8509252341777849,0.8011049723756906,15.958011049723758,181,0.0018929886211512717
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.024975266023362436,0.030482381812666378,0.02489212194569006,0.00017196855658082826,0.005819177849512124,8.67094071371978e-05,0.4401936096978295,0.07715008431703205,1.5368296795952783,2372,0.02480756358768407
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.0075063771834535265,0.013914903838720592,0.006654208979536269,-0.0022100797265459313,0.004261186045296793,-0.003070590609391378,0.40803124036226324,0.008629989212513484,0.17190938511326861,927,0.009695030120481929
10,2023-08-15T06:45:00+00:00,2023-08-15T06:45:00+00:00,2023-08-16T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.005633783356833485,0.009849465899630148,0.007582474694801085,-0.002079681392843692,0.002168702903236048,-0.00011587373083789486,0.33666810679622783,0.010869565217391304,0.2165217391304348,736,0.007697456492637216
11,2023-08-16T06:45:00+00:00,2023-08-16T06:45:00+00:00,2023-08-17T06:40:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.0022875076708681746,0.008040854303969145,0.002213970976005532,-0.0006532508159885522,0.005117053811593998,-0.0007270042603267956,0.4156516811759693,0.0,0.0,281,0.002938838688085676
12,2023-08-17T06:45:00+00:00,2023-08-17T06:45:00+00:00,2023-08-18T00:00:00+00:00,common_terminal_heldout,21,14,7,3,"1,6,24",0.4,hold,False,0.000767055318422508,0.0021705935061698866,0.0005869646882043576,0.00040862467609465895,0.001812666321115783,0.00022846944632481253,0.7189873018150513,0.0,0.0,25,0.0003585771658060815
