selection_stage,selection_origin_idx,selection_origin_time,purge_hours,selection_role,candidate_b1_train_days,candidate_b1_half_life_days,candidate_L_obs_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,candidate_b2_train_days,candidate_b2_half_life_days,candidate_lambda,train_end_time,validation_start_time,validation_end_time,validation_block_count,validation_block_days,selected_b1_train_days,selected_b1_half_life_days,selected_b1_input_hours,selected_b1_input_weights,selected_b2_train_days,selected_b2_half_life_days,selected_L_train_days,selected_L_obs_hours,selected_lambda,val_pr_auc,val_roc_auc,val_pr_auc_b1,val_pr_auc_b2,val_pr_auc_b1_median,val_pr_auc_b2_median,prediction_disagreement,validation_positive_rate,latest_val_pr_auc,adst_action,adwin_triggered,adwin_loss_triggered,adwin_disagreement_triggered,adwin_prevalence_triggered,adwin_stable,adwin_stable_count,adwin_loss_state,adwin_disagreement_state,adwin_prevalence_state,previous_val_pr_auc,val_pr_auc_delta,candidate_count,branch1_input_validation_ap
development,18144,2023-07-18T09:40:00+00:00,36,branch1,7.0,3.0,all_1_6_24,0.14420563585864943,0.12265297305295447,0.11333263118299419,0.04431926613172519,0.1040122893130339,0.6536101375973885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch1,7.0,7.0,all_1_6_24,0.14519432521935058,0.12124127501613718,0.11308849099364708,0.04588988023012215,0.10493570697115698,0.6533494870913515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch1,7.0,14.0,all_1_6_24,0.14592317839875904,0.1212995579727646,0.11339139571581608,0.046457792198029306,0.10548323345886756,0.6540248416027091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch1,14.0,3.0,all_1_6_24,0.13976496022991144,0.11116651373408375,0.1083336702567872,0.04451069512144036,0.10550082677949066,0.6391818947057959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch1,14.0,7.0,all_1_6_24,0.13538935849403955,0.10671327715234484,0.10431394578913364,0.04399091281413447,0.10191461442592242,0.6222090058084963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch1,14.0,14.0,all_1_6_24,0.1326287877014338,0.10698792888723618,0.10333775854735568,0.041530847252175554,0.09968758820747517,0.6155380596479912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch1,21.0,3.0,all_1_6_24,0.13424798731483537,0.10353589418352799,0.10201157241729547,0.04560616108368115,0.10048725065106295,0.6224992396070541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch1,21.0,7.0,all_1_6_24,0.1223586074940789,0.09360189249492949,0.08908106635632917,0.0472060878948138,0.08456024021772886,0.5775375866144424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch1,21.0,14.0,all_1_6_24,0.11634875233150173,0.09039467058188345,0.0853408706820748,0.04404548457055054,0.08028707078226616,0.5627480241133376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.07689489370940063,0.06341918964872716,0.06212892188323524,0.020908795004654493,0.06083865411774333,0.3847172234085858,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.0820647302899552,0.09249796212703607,0.0766658771622562,0.015013277670457901,0.060833792197476325,0.4045250946314655,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.08604179757735671,0.08988295391358272,0.07535824962410761,0.01920731848896519,0.06083354533463249,0.40803877464960303,7.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.17884622800530467,0.1072547395864179,0.08043942606785273,0.1408799892148624,0.05362411254928757,0.48384602049087083,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.16797179220502975,0.08844030348260297,0.07117301452735719,0.13761823848976412,0.05390572557211141,0.4066506520207936,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.16679236452358362,0.08764403563382465,0.06940387300518805,0.13853100344545008,0.05116371037655144,0.39081855035525237,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.17871835912135967,0.1064331416309732,0.08729286490185206,0.13023622940157878,0.06815258817273094,0.48868217295005323,21.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.18204770777597565,0.10566663295431013,0.09690876000491719,0.12061680817444634,0.08815088705552425,0.4787369729159134,21.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,branch2,,,history_only,0.19868058628834942,0.15746036990244902,0.12191203847273938,0.11238005062758931,0.08636370704302972,0.5637199563724994,21.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
