origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,selected_L_train_days,selected_L_obs_hours,selected_lambda,pr_auc_fused,pr_auc_b1,pr_auc_b2,roc_auc_fused,recall_at_100,lift_at_100,positives,test_prevalence
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.004846624289535383,0.004664139566551452,0.0035272168922977436,0.7074368484557008,0.10638297872340426,2.1191489361702125,235,0.0024577476572958503
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.04265457025702962,0.03224212112618302,0.07916173038624522,0.7429659176656009,0.10505645557191949,2.092724594992636,2037,0.021303965863453816
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.24368254214229604,0.13895701975206826,0.17676849923262852,0.8032045532620962,0.3518902123252201,7.009653029518384,3862,0.040390729585006696
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.10078295978480895,0.03528029848154425,0.10245244830881767,0.7324171689582917,0.3124223602484472,6.223453416149068,1610,0.01683818607764391
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.006831740819190944,0.00826857141363594,0.0036999459169967455,0.597311880173459,0.06072106261859583,1.209563567362429,527,0.005511629852744311
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.005311524588182227,0.005513173857500353,0.004249661790459084,0.5694711522407027,0.10972568578553615,2.18573566084788,401,0.004193858768406961
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.007432720700318658,0.009612134436262522,0.003969726062796794,0.7161781633338935,0.09,1.7928,400,0.004183400267737617
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.005704839612580907,0.0024343296467426944,0.01460621610909542,0.8502850715262217,0.06077348066298342,1.21060773480663,181,0.0018929886211512717
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.033185836747077355,0.032857168631450544,0.02443205761540715,0.5326409430211316,0.09780775716694773,1.9483305227655987,2372,0.02480756358768407
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.015225818008943093,0.01764053725123222,0.008230277709950155,0.6997790917255118,0.034519956850053934,0.6876375404530745,927,0.009695030120481929
10,2023-08-15T06:45:00+00:00,2023-08-15T06:45:00+00:00,2023-08-16T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.010466862088956717,0.011755736288823695,0.0075838021796472,0.6490223778090403,0.04619565217391304,0.9202173913043478,736,0.007697456492637216
11,2023-08-16T06:45:00+00:00,2023-08-16T06:45:00+00:00,2023-08-17T06:40:00+00:00,common_terminal_heldout,21,6,0.6,0.002459049291907567,0.0028473941441475767,0.0019159514339511013,0.4598814034122416,0.017793594306049824,0.35444839857651245,281,0.002938838688085676
12,2023-08-17T06:45:00+00:00,2023-08-17T06:45:00+00:00,2023-08-18T00:00:00+00:00,common_terminal_heldout,21,6,0.6,0.0014815905567735822,0.0018770102496353477,0.0005133364817970883,0.7703703278570916,0.24,4.780799999999999,25,0.0003585771658060815
