origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_lambda,adst_action,adwin_triggered,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,pr_auc_b1_normalized,pr_auc_b2_normalized,roc_auc_fused,recall_at_100,lift_at_100,positives,test_prevalence
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.005748814638940018,0.005708203541461752,0.0029488299966157474,0.0032991755225557366,0.003258464367331092,0.0004922922694919459,0.7835409032576407,0.16595744680851063,3.3058723404255317,235,0.0024577476572958503
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.03305342872582228,0.03079679801251795,0.08025629956359354,0.012005221695553736,0.009699469312184529,0.060235590667484795,0.697320420383287,0.0662739322533137,1.3201767304860088,2037,0.021303965863453816
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.14701553759654848,0.11863381508501966,0.19021902711922553,0.11111273233680906,0.081536400191482,0.15613469164321847,0.8201947223683818,0.23070947695494562,4.595732780942517,3862,0.040390729585006696
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.05893760518071546,0.04286311551569558,0.09451431127660724,0.04282043759929461,0.026470647119851372,0.07900645051405313,0.726850955595143,0.24161490683229814,4.812968944099379,1610,0.01683818607764391
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.007385542656391509,0.007765125973860849,0.0034327169984961587,0.0018842983587326666,0.0022659853938592155,-0.0020904345557508364,0.6411607138527547,0.06451612903225806,1.2851612903225806,527,0.005511629852744311
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.00447130158613664,0.00444073452678607,0.0045998204388629504,0.00027861127406439033,0.00024791548089247306,0.00040767138667562736,0.5342678330168382,0.1371571072319202,2.73216957605985,401,0.004193858768406961
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.006560084805824344,0.006805655846827331,0.00401906642332293,0.002386668929525505,0.002633271608240654,-0.00016502420672528524,0.7037597278818686,0.11,2.1912,400,0.004183400267737617
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.005339048292701892,0.00399173183691026,0.019782232216729517,0.0034525953953474524,0.0021027236476975054,0.017923171956146167,0.7965731209839678,0.23756906077348067,4.732375690607736,181,0.0018929886211512717
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.02906490637789338,0.029116180666067894,0.02468780314410394,0.004365643775778105,0.004418222411809315,-0.00012280698568656217,0.5345224641537772,0.02824620573355818,0.5626644182124789,2372,0.02480756358768407
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.014547173996806339,0.015164511379129532,0.008205087504805877,0.0048996460927735516,0.005523027173450446,-0.0015045290703300416,0.6878277143765583,0.05177993527508091,1.0314563106796115,927,0.009695030120481929
10,2023-08-15T06:45:00+00:00,2023-08-15T06:45:00+00:00,2023-08-16T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.009890671577990081,0.010089105740605791,0.009637459222483939,0.002210228220922213,0.0024102016704654647,0.001955051654901183,0.64863745938806,0.021739130434782608,0.4330434782608696,736,0.007697456492637216
11,2023-08-16T06:45:00+00:00,2023-08-16T06:45:00+00:00,2023-08-17T06:40:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.005303405138150452,0.005788896594892208,0.0018720791729656457,0.002371536011846579,0.0028584584551026733,-0.0010699037897699357,0.7081660344762906,0.08540925266903915,1.7013523131672597,281,0.002938838688085676
12,2023-08-17T06:45:00+00:00,2023-08-17T06:45:00+00:00,2023-08-18T00:00:00+00:00,common_terminal_heldout,21,7,21,14,"1,6,24",0.9,hold,False,0.005551111968714805,0.00595412547096394,0.0005364116208213535,0.005194397395204766,0.00559755546073041,0.0001778982452638606,0.7310670779826387,0.32,6.3744000000000005,25,0.0003585771658060815
