selection_stage,selection_origin_idx,selection_origin_time,purge_hours,validation_mode,pool_origin_count,pool_validation_block_count,selection_role,candidate_b1_train_days,candidate_b1_half_life_days,candidate_L_obs_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,branch1_input_validation_ap,candidate_b2_train_days,candidate_b2_half_life_days,candidate_lambda,train_end_time,validation_start_time,validation_end_time,validation_block_count,validation_block_days,selected_b1_train_days,selected_b1_half_life_days,selected_b1_input_hours,selected_b1_input_weights,selected_b2_train_days,selected_b2_half_life_days,selected_L_train_days,selected_L_obs_hours,selected_lambda,val_pr_auc,val_roc_auc,val_pr_auc_b1,val_pr_auc_b2,val_pr_auc_b1_median,val_pr_auc_b2_median,prediction_disagreement,validation_positive_rate,latest_val_pr_auc,adst_action,adwin_triggered,adwin_loss_triggered,adwin_disagreement_triggered,adwin_prevalence_triggered,adwin_loss_raw_triggered,adwin_disagreement_raw_triggered,adwin_prevalence_raw_triggered,adwin_stable,adwin_stable_count,adwin_loss_state,adwin_disagreement_state,adwin_prevalence_state,adwin_last_batch_bin,adwin_feedback_batch_count,adwin_min_batches,adwin_consecutive_trigger_requirement,adwin_cooldown_cycles,previous_val_pr_auc,val_pr_auc_delta,candidate_count
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,3.0,all_1_6_24,0.14420563585864943,0.12265297305295447,0.11333263118299419,0.04431926613172519,0.1040122893130339,0.6536101375973885,"{'1': 0.11976351087141361, '6': 0.14216393677667225, '24': 0.1540961726307907}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,7.0,all_1_6_24,0.14519432521935058,0.12124127501613718,0.11308849099364708,0.04588988023012215,0.10493570697115698,0.6533494870913515,"{'1': 0.11955438484969617, '6': 0.14257377723417686, '24': 0.15690527888445302}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,14.0,all_1_6_24,0.14592317839875904,0.1212995579727646,0.11339139571581608,0.046457792198029306,0.10548323345886756,0.6540248416027091,"{'1': 0.11974973295087253, '6': 0.14276596446715106, '24': 0.1583206828993058}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,14.0,3.0,all_1_6_24,0.13976496022991144,0.11116651373408375,0.1083336702567872,0.04451069512144036,0.10550082677949066,0.6391818947057959,"{'1': 0.12160643170485912, '6': 0.13472972725282525, '24': 0.152923203116845}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,14.0,7.0,all_1_6_24,0.13538935849403955,0.10671327715234484,0.10431394578913364,0.04399091281413447,0.10191461442592242,0.6222090058084963,"{'1': 0.12067136299327846, '6': 0.1305364670138601, '24': 0.14982909072830905}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,14.0,14.0,all_1_6_24,0.1326287877014338,0.10698792888723618,0.10333775854735568,0.041530847252175554,0.09968758820747517,0.6155380596479912,"{'1': 0.11959865070522269, '6': 0.12830850332885513, '24': 0.14698615606130497}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,21.0,3.0,all_1_6_24,0.13424798731483537,0.10353589418352799,0.10201157241729547,0.04560616108368115,0.10048725065106295,0.6224992396070541,"{'1': 0.11655871868177907, '6': 0.13033535687577136, '24': 0.14836044421858174}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,21.0,7.0,all_1_6_24,0.1223586074940789,0.09360189249492949,0.08908106635632917,0.0472060878948138,0.08456024021772886,0.5775375866144424,"{'1': 0.10907125154702002, '6': 0.119752219485548, '24': 0.13546793938594606}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,21.0,14.0,all_1_6_24,0.11634875233150173,0.09039467058188345,0.0853408706820748,0.04404548457055054,0.08028707078226616,0.5627480241133376,"{'1': 0.10596699057722973, '6': 0.11504484595892767, '24': 0.12674307352486638}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.07689489370940063,0.06341918964872716,0.06212892188323524,0.020908795004654493,0.06083865411774333,0.3847172234085858,,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
