origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_lambda,adst_action,adwin_triggered,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,pr_auc_b1_normalized,pr_auc_b2_normalized,roc_auc_fused,recall_at_100,lift_at_100,positives,test_prevalence
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.01427960411694472,0.006911454037511431,0.01205154124905703,0.011850983185810448,0.0044646794356390995,0.009617430809803177,0.8160875521174096,0.4765957446808511,9.493787234042554,235,0.0024577476572958503
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.1279281487301158,0.02763825962330233,0.26771659097157974,0.10894514654974675,0.006472176793315547,0.25177646226545025,0.8369917896992601,0.35100638193421696,6.9920471281296015,2037,0.021303965863453816
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.20071114030447365,0.07760565565189384,0.22421448769586116,0.16706842635037766,0.03878133237582537,0.1915610486248824,0.8366967820547607,0.2736923873640601,5.451952356292076,3862,0.040390729585006696
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.13721088589529126,0.030189152525326467,0.1669217313947399,0.12243427085254312,0.013579622660911167,0.15265396111992266,0.8468475945040114,0.41055900621118013,8.178335403726706,1610,0.01683818607764391
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.01021255021021003,0.010757638145479404,0.0046080696667092115,0.004726973686750752,0.005275082595443834,-0.0009085678758629499,0.6863247939316932,0.10246679316888045,2.0411385199240986,527,0.005511629852744311
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.005111913990084045,0.0051227723074479484,0.0040018758070535084,0.0009219216307921656,0.000932825678190863,-0.00019279150168326152,0.5636851001205698,0.10972568578553615,2.18573566084788,401,0.004193858768406961
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.005510270109877596,0.006836728520005265,0.004289779286091097,0.001332443988678964,0.0026644748169301737,0.00010682591391033334,0.6401126386321627,0.0025,0.049800000000000004,400,0.004183400267737617
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.00980804221608767,0.010937753926812566,0.005656110392986635,0.007930065117969703,0.009061919416001575,0.003770258828897261,0.9057683818815097,0.15469613259668508,3.081546961325967,181,0.0018929886211512717
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.040375009093021746,0.025553966287551754,0.043952019326783325,0.015963460055750153,0.0007653901650567173,0.01963146454409629,0.5352919529229483,0.1391231028667791,2.7713322091062396,2372,0.02480756358768407
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.0134453272287459,0.014645155782042295,0.0077028497673044165,0.0037870123066435168,0.004998587114192314,-0.0020116836871169933,0.6488464029003231,0.04854368932038835,0.9669902912621358,927,0.009695030120481929
10,2023-08-15T06:45:00+00:00,2023-08-15T06:45:00+00:00,2023-08-16T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.018757673537601244,0.008941605094806031,0.04188755052941226,0.01114601299505987,0.0012537996705836154,0.03445531230417667,0.751960392475163,0.20108695652173914,4.0056521739130435,736,0.007697456492637216
11,2023-08-16T06:45:00+00:00,2023-08-16T06:45:00+00:00,2023-08-17T06:40:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.01111861623286637,0.005717506752216409,0.014257136935093586,0.008203887446601466,0.0027868581908000642,0.011351658941479081,0.811092836704134,0.2313167259786477,4.607829181494662,281,0.002938838688085676
12,2023-08-17T06:45:00+00:00,2023-08-17T06:45:00+00:00,2023-08-18T00:00:00+00:00,common_terminal_heldout,7,7,7,0,"1,6,24",0.2,await_confirmation,False,0.0008855472973320101,0.0015410843718326969,0.0005619745537922043,0.0005271591587630067,0.0011829313782075561,0.00020347034780676492,0.7247412296434464,0.16,3.1872000000000003,25,0.0003585771658060815
