origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_lambda,adst_action,adwin_triggered,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,pr_auc_b1_normalized,pr_auc_b2_normalized,roc_auc_fused,recall_at_100,lift_at_100,positives,test_prevalence
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.01205154124905703,0.005708203541461752,0.01205154124905703,0.009617430809803177,0.003258464367331092,0.009617430809803177,0.6948108671449129,0.39574468085106385,7.883234042553191,235,0.0024577476572958503
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.26771659097157974,0.03079679801251795,0.26771659097157974,0.25177646226545025,0.009699469312184529,0.25177646226545025,0.816192677843339,0.4162984781541483,8.292665684830633,2037,0.021303965863453816
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.22421448769586116,0.11863381508501966,0.22421448769586116,0.1915610486248824,0.081536400191482,0.1915610486248824,0.70308305412192,0.2092180217503884,4.167622993267737,3862,0.040390729585006696
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.1669217313947399,0.04286311551569558,0.1669217313947399,0.15265396111992266,0.026470647119851372,0.15265396111992266,0.854684080558886,0.4366459627329193,8.69798757763975,1610,0.01683818607764391
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.0046080696667092115,0.007765125973860849,0.0046080696667092115,-0.0009085678758629499,0.0022659853938592155,-0.0009085678758629499,0.2530187089482513,0.06451612903225806,1.2851612903225806,527,0.005511629852744311
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.0040018758070535084,0.00444073452678607,0.0040018758070535084,-0.00019279150168326152,0.00024791548089247306,-0.00019279150168326152,0.42865385504363857,0.1172069825436409,2.3347630922693265,401,0.004193858768406961
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.004289779286091097,0.006805655846827331,0.004289779286091097,0.00010682591391033334,0.002633271608240654,0.00010682591391033334,0.42260577266425814,0.0025,0.049800000000000004,400,0.004183400267737617
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.005656110392986635,0.00399173183691026,0.005656110392986635,0.003770258828897261,0.0021027236476975054,0.003770258828897261,0.7136612029766578,0.0,0.0,181,0.0018929886211512717
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.043952019326783325,0.029116180666067894,0.043952019326783325,0.01963146454409629,0.004418222411809315,0.01963146454409629,0.49631301975639464,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.0077028497673044165,0.015164511379129532,0.0077028497673044165,-0.0020116836871169933,0.005523027173450446,-0.0020116836871169933,0.36666853390471954,0.06796116504854369,1.35378640776699,927,0.009695030120481929
10,2023-08-15T06:45:00+00:00,2023-08-15T06:45:00+00:00,2023-08-16T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.04188755052941226,0.010089105740605791,0.04188755052941226,0.03445531230417667,0.0024102016704654647,0.03445531230417667,0.8071299659409598,0.3804347826086957,7.578260869565217,736,0.007697456492637216
11,2023-08-16T06:45:00+00:00,2023-08-16T06:45:00+00:00,2023-08-17T06:40:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.014257136935093586,0.005788896594892208,0.014257136935093586,0.011351658941479081,0.0028584584551026733,0.011351658941479081,0.8454408848960595,0.3701067615658363,7.372526690391459,281,0.002938838688085676
12,2023-08-17T06:45:00+00:00,2023-08-17T06:45:00+00:00,2023-08-18T00:00:00+00:00,common_terminal_heldout,21,7,7,0,"1,6,24",0.0,hold,False,0.0005619745537922043,0.00595412547096394,0.0005619745537922043,0.00020347034780676492,0.00559755546073041,0.00020347034780676492,0.5855011119879475,0.0,0.0,25,0.0003585771658060815
