selection_role,selection_stage,selection_origin_idx,selection_origin_time,candidate_train_days,candidate_half_life_days,candidate_input_hours,validation_block_count,validation_block_days,purge_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,selection_origin_count,selected_train_days,selected_half_life_days,selected_input_hours,validation_origin_count,adst_action,candidate_count,family_validation_pr_auc,input_validation_pr_auc,selected_family_weights,selected_input_weights,candidate_cascade_alpha,validation_scope,validation_samples,selected_cascade_alpha,cascade_validation_pr_auc
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.14420563585864943,0.12265297305295447,0.11333263118299419,0.04431926613172519,0.1040122893130339,0.6536101375973885,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.14519432521935058,0.12124127501613718,0.11308849099364708,0.04588988023012215,0.10493570697115698,0.6533494870913515,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.14592317839875904,0.1212995579727646,0.11339139571581608,0.046457792198029306,0.10548323345886756,0.6540248416027091,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.13976496022991144,0.11116651373408375,0.1083336702567872,0.04451069512144036,0.10550082677949066,0.6391818947057959,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.13538935849403955,0.10671327715234484,0.10431394578913364,0.04399091281413447,0.10191461442592242,0.6222090058084963,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1326287877014338,0.10698792888723618,0.10333775854735568,0.041530847252175554,0.09968758820747517,0.6155380596479912,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.13424798731483537,0.10353589418352799,0.10201157241729547,0.04560616108368115,0.10048725065106295,0.6224992396070541,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.1223586074940789,0.09360189249492949,0.08908106635632917,0.0472060878948138,0.08456024021772886,0.5775375866144424,,,,,,,,,,,,,,,,
branch1_proxy,development,18144.0,2023-07-18T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.11634875233150173,0.09039467058188345,0.0853408706820748,0.04404548457055054,0.08028707078226616,0.5627480241133376,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.15934421154674697,0.1787637436272401,0.14058187372676373,0.04093841839080112,0.10240000382628738,0.681411510835466,,,,,,,,,,,,,,,,
