origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,policy,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,selected_lambda,pareto_alpha,pareto_lambda_mean,pareto_lambda_min,pareto_lambda_max,pareto_history_cutoff,fusion_method,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.9133087658172372,0.1111111111111111,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.006072164611899141,0.006942519171658781,0.012051555943055075,0.003623322166168821,0.7980009400150393,0.8127009995969133,0.6948097294902615,0.10212765957446808,2.034382978723404,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.9149987433198403,0.1111111111111111,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.04054020728814292,0.02917990457182514,0.26771667351262846,0.019654970239723374,0.7652014758145825,0.6303172981627472,0.8161931814619886,0.028964162984781543,0.5769661266568482,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.9130319641661886,0.1,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.0920533688531581,0.08667685269575917,0.2242145920557747,0.05383716149991896,0.7947591626663632,0.76015393794907,0.7030838866228746,0.10719834282755049,2.1353909891248053,0.12868979803210773,2.5635007767995854,0.2092180217503884,4.167622993267737,3862,0.040390729585006696,1992,48,100
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.9035845956426717,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.0456099648243863,0.05608632867507911,0.1669211253581758,0.029264540525589005,0.8051511711357661,0.7402736947013953,0.8546834859093836,0.0782608695652174,1.5589565217391304,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.9023359215934202,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.0062722806836304846,0.006169631559244072,0.004608072350271864,0.0007648664918761624,0.5961099900756114,0.5961135620812484,0.2530178109580073,0.036053130929791274,0.7181783681214422,0.028462998102466792,0.5669829222011386,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.901763722005627,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.00413323428702172,0.004144939342279707,0.004001879041285664,-6.087980267952756e-05,0.528573933542974,0.5341526454828638,0.4286541300479829,0.04488778054862843,0.8941645885286782,0.02743142144638404,0.54643391521197,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.90023595690482,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.006474801512631708,0.006668442979972535,0.004289788898153691,0.0023010273633821358,0.6687706372878508,0.6900558204503444,0.4226055757435725,0.0325,0.6474,0.0225,0.4482,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.9023830746416402,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.002926051876704502,0.002108865508829062,0.005656114618589922,0.001035022541446824,0.6917359795087744,0.5481755972289722,0.7136612029766578,0.10497237569060773,2.0910497237569063,0.09944751381215469,1.9809944751381217,0.0,0.0,181,0.0018929886211512717,1992,48,100
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.9028071792943781,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.025554565227037904,0.02395728039502435,0.04395196725316627,0.0007660043407453158,0.49524653734462154,0.483359091847222,0.4963120002006739,0.02951096121416526,0.587858347386172,0.04005059021922428,0.7978077571669477,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,7,3,7,0,"1,6,24",1.0,1.0,1.0,0.8933714701881118,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.01892473650171815,0.02023311559503117,0.00770284850356385,0.0093200646891221,0.727291978601657,0.7449450112064474,0.3666678389595016,0.05825242718446602,1.160388349514563,0.06256742179072276,1.2463430420711972,0.06796116504854369,1.35378640776699,927,0.009695030120481929,1992,48,100
