origin_bin,policy,action,selected_train_days,selected_half_life_days,candidate_count,quick_validation_pr_auc,performance_drop,train_confidence,half_confidence
18144,adst,momentum_initial_full_search,7,7,9,,,0.30000000000000004,0.30000000000000004
18432,adst,momentum_full_rescan,7,3,9,,,0.51,0.30000000000000004
18720,adst,momentum_full_rescan,7,3,9,,,0.657,0.51
19008,adst,momentum_partial_search_hold_train,7,3,3,,,0.7599,0.657
19296,adst,momentum_full_rescan,7,3,9,0.1044329354078127,0.4512100240955695,0.8319300000000001,0.7599
19584,adst,momentum_full_rescan,7,3,9,0.14038670408237772,0.378974215116134,0.882351,0.8319300000000001
19872,adst,momentum_full_rescan,14,3,9,0.1258406690839543,0.46342768774516685,0.30000000000000004,0.882351
20160,adst,momentum_partial_search_hold_half,7,3,3,,,0.73235199,0.9176457
20448,adst,momentum_skip_hold,7,3,0,0.3302197315536805,0.0050373672450252415,0.812646393,0.94235199
20736,adst,momentum_skip_hold,7,3,0,0.35225536431948695,-0.06673021221999369,0.8688524751,0.959646393
21024,adst,momentum_skip_hold,7,3,0,0.39067293778555473,-0.10906171305662214,0.90819673257,0.9717524751
21312,adst,momentum_full_rescan,7,3,9,0.22634620215970738,0.4206248238163053,0.935737712799,0.9802267325699999
21600,adst,momentum_skip_hold,7,3,0,0.2698783565623699,-0.38405568883744573,0.9550163989593,0.9861587127989999
21888,adst,momentum_skip_hold,7,3,0,0.4302858937327688,-0.594369771676478,0.96851147927151,0.9903110989592999
22176,adst,momentum_full_rescan,21,3,9,0.15974394640037926,0.6287492833785785,0.30000000000000004,0.99321776927151
22464,adst,momentum_partial_search_hold_half,21,3,3,,,0.51,0.995252438490057
22752,adst,momentum_partial_search_hold_half,14,3,3,,,0.30847425747,0.9966767069430399
23040,adst,momentum_partial_search_hold_half,21,3,3,,,0.5499,0.9976736948601279
