origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,policy,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,selected_lambda,pareto_alpha,pareto_lambda_mean,pareto_lambda_min,pareto_lambda_max,pareto_history_cutoff,fusion_method,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.9133087658172372,0.1111111111111111,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.007493124620249885,0.006153562606510764,0.012051555943055075,0.005047783140141255,0.799736064120893,0.7908089103789125,0.6948097294902615,0.19574468085106383,3.899234042553191,0.18723404255319148,3.729702127659574,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.9149987433198403,0.1111111111111111,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.060834110182992215,0.02993145347179934,0.26771667351262846,0.04039062481173109,0.8276311452734526,0.6431552929666933,0.8161931814619886,0.10849288168875798,2.161178203240059,0.06921944035346098,1.3788512518409424,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.9130319641661886,0.1,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.13056418658753763,0.09466004338951765,0.2242145920557747,0.09396893067064103,0.831450558581049,0.7746042806894309,0.7030838866228746,0.184360435007768,3.6724598653547385,0.13982392542723976,2.785292594510616,0.2092180217503884,4.167622993267737,3862,0.040390729585006696,1992,48,100
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.9035845956426717,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.08301015710153622,0.060547927841899704,0.1669211253581758,0.0673052696787491,0.8685217991239623,0.7598506332951128,0.8546834859093836,0.29627329192546586,5.901763975155279,0.26273291925465836,5.233639751552794,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.9023359215934202,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.005984435735469133,0.006172746371254534,0.004608072350271864,0.0004754262562716681,0.5601667531963415,0.5909472645650674,0.2530178109580073,0.06641366223908918,1.3229601518026566,0.04174573055028463,0.8315749525616698,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.901763722005627,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.0039951136185642265,0.004105895974483282,0.004001879041285664,-0.0001995821692733595,0.5102738349211778,0.529083451115948,0.4286541300479829,0.04239401496259352,0.8444887780548628,0.034912718204488775,0.6954613466334165,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.90023595690482,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.004847884356115943,0.006517994284014571,0.004289788898153691,0.0006672755691730596,0.608769823349017,0.6918427050075618,0.4226055757435725,0.0075,0.1494,0.0125,0.249,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.9023830746416402,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.006058800106585733,0.004548200134058118,0.005656114618589922,0.004173712275279524,0.8556059242543664,0.7668566178652155,0.7136612029766578,0.09392265193370165,1.870939226519337,0.11049723756906077,2.2011049723756906,0.0,0.0,181,0.0018929886211512717,1992,48,100
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.9028071792943781,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.02655965589893239,0.024880618749720813,0.04395196725316627,0.0017966631465007859,0.49380568130628716,0.5000610196186575,0.4963120002006739,0.08473861720067453,1.687993254637437,0.03541315345699832,0.7054300168634065,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,sliding,21,3,7,0,"1,6,24",1.0,1.0,1.0,0.8933714701881118,0.09090909090909091,1.0,decision_time_minus_10min,github_pareto_formula_full_gpu_before_top100,0.011414394305655835,0.014440459640418365,0.00770284850356385,0.001736196664127705,0.6072308275237907,0.6866205717478361,0.3666678389595016,0.043149946062567425,0.8595469255663429,0.042071197411003236,0.8380582524271845,0.06796116504854369,1.35378640776699,927,0.009695030120481929,1992,48,100
