origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,policy,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,selected_lambda,lambda_mode,pareto_variant,pareto_w_clean,pareto_w_rep,pareto_alpha,pareto_lambda_mean,pareto_lambda_min,pareto_lambda_max,pareto_history_cutoff,fusion_method,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k,calibration
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.30_wr0.02_a1.0,0.3,0.02,1.0,0.2757264544288264,0.05111111111111111,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006247550721972165,0.006942519171658781,0.012051555943055075,0.0037991403930771384,0.8006895079465177,0.8127009995969132,0.6948097294902615,0.1148936170212766,2.2886808510638295,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,platt
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.30_wr0.02_a1.5,0.3,0.02,1.5,0.2700868200615594,0.030370370370370367,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006019668147820017,0.006942519171658781,0.012051555943055075,0.0035706963611406755,0.7939328654375386,0.8127009995969132,0.6948097294902615,0.08936170212765958,1.7800851063829788,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,platt
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.30_wr0.05_a1.0,0.3,0.05,1.0,0.27832719145430923,0.07777777777777778,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006385939613184163,0.006942519171658781,0.012051555943055075,0.00393787024726326,0.8042716032253179,0.8127009995969132,0.6948097294902615,0.14042553191489363,2.797276595744681,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,platt
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.30_wr0.05_a1.5,0.3,0.05,1.5,0.2732918036263923,0.05925925925925926,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006215277124929943,0.006942519171658781,0.012051555943055075,0.0037667872802476534,0.7990960329982308,0.8127009995969132,0.6948097294902615,0.10212765957446808,2.034382978723404,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,platt
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.4583882075922738,0.07333333333333333,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006093491472565476,0.006942519171658781,0.012051555943055075,0.0036447015720197998,0.7979734132338682,0.8127009995969132,0.6948097294902615,0.10212765957446808,2.034382978723404,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,platt
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.50_wr0.02_a1.5,0.5,0.02,1.5,0.44872026296267337,0.03777777777777778,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.005858967232199718,0.006942519171658781,0.012051555943055075,0.0034095995101121636,0.7904838980598973,0.8127009995969132,0.6948097294902615,0.0851063829787234,1.69531914893617,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,platt
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.05_a1.0,0.5,0.05,1.0,0.4609889446177567,0.1,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006176427732973758,0.006942519171658781,0.012051555943055075,0.0037278421710405514,0.800245688790778,0.8127009995969132,0.6948097294902615,0.10638297872340426,2.1191489361702125,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,platt
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.50_wr0.05_a1.5,0.5,0.05,1.5,0.4519252465275062,0.06666666666666667,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.005978514774391223,0.006942519171658781,0.012051555943055075,0.0035294415939043536,0.7938241859579063,0.8127009995969132,0.6948097294902615,0.08936170212765958,1.7800851063829788,0.2297872340425532,4.577361702127659,0.39574468085106385,7.883234042553191,235,0.0024577476572958503,1992,48,100,platt
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.30_wr0.02_a1.0,0.3,0.02,1.0,0.2761996481295552,0.05111111111111111,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04075951198967665,0.029179904571825135,0.26771667351262846,0.019879048701150072,0.7670502284007629,0.6303172981627472,0.8161931814619886,0.026018654884634267,0.5182916053019145,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,platt
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.30_wr0.02_a1.5,0.3,0.02,1.5,0.27062739345121495,0.030370370370370367,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04189144109721019,0.029179904571825135,0.26771667351262846,0.021035617306776624,0.7728890728565848,0.6303172981627472,0.8161931814619886,0.01914580265095729,0.3813843888070692,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,platt
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.30_wr0.05_a1.0,0.3,0.05,1.0,0.27874968582996,0.07777777777777778,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.040020437385420875,0.029179904571825135,0.26771667351262846,0.019123886139458663,0.7630640605597648,0.6303172981627472,0.8161931814619886,0.029455081001472753,0.5867452135493373,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,platt
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.30_wr0.05_a1.5,0.3,0.05,1.5,0.2737744584385847,0.05925925925925926,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04112539320209701,0.029179904571825135,0.26771667351262846,0.020252894307608627,0.7694185003461042,0.6303172981627472,0.8161931814619886,0.023564064801178203,0.4693961708394698,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,platt
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.45919939679352323,0.07333333333333333,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.03907514784309517,0.029179904571825135,0.26771667351262846,0.018158019813904695,0.7575300994899166,0.6303172981627472,0.8161931814619886,0.023073146784486992,0.45961708394698086,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,platt
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.50_wr0.02_a1.5,0.5,0.02,1.5,0.4496469602020827,0.03777777777777778,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04032844729878897,0.029179904571825135,0.26771667351262846,0.019438600721540154,0.76438117546303,0.6303172981627472,0.8161931814619886,0.018163966617574866,0.3618262150220913,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,platt
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.05_a1.0,0.5,0.05,1.0,0.46174943449392813,0.1,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.03855200995303165,0.029179904571825135,0.26771667351262846,0.017623494412946007,0.7545313074874459,0.6303172981627472,0.8161931814619886,0.026509572901325478,0.5280706921944035,0.060382916053019146,1.2028276877761412,0.4162984781541483,8.292665684830633,2037,0.021303965863453816,1992,48,100,platt
