origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,branch1_only,branch2_executed,selected_train_days,selected_half_life_days,selected_cascade_alpha,pr_auc_parallel,pr_auc_cascade,pr_auc_parallel_normalized,pr_auc_cascade_normalized,roc_auc_parallel,roc_auc_cascade,recall_at_100_parallel,recall_at_100_cascade,lift_at_100_parallel,lift_at_100_cascade,positives,test_prevalence,mean_prediction_disagreement,mean_sample_hardness
0,2023-08-05T06:45:00+00:00,2023-08-05T06:45:00+00:00,2023-08-06T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.005470044965252353,0.0062438571822528025,0.0030197190152920286,0.0037954377532033,0.7499412769437331,0.784530618190384,0.17446808510638298,0.19148936170212766,3.4754042553191486,3.8144680851063826,235,0.0024577476572958503,0.007187418403349227,0.2659271182861759
1,2023-08-06T06:45:00+00:00,2023-08-06T06:45:00+00:00,2023-08-07T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.03111267609722432,0.029491384673896566,0.010022223337631312,0.008365640122028383,0.6682938585232286,0.6352612017863375,0.07314678448699068,0.0741286205203731,1.457083946980854,1.476642120765832,2037,0.021303965863453816,0.007679569689875428,0.2619223647650731
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.12800400340271428,0.09963504912126218,0.09130098730686323,0.061737960816733925,0.7993341533194939,0.7651310914701591,0.2322630761263594,0.17089590885551528,4.6266804764370795,3.4042465044018644,3862,0.040390729585006696,0.007671758844720038,0.26948835271461324
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.051941715328322625,0.08522684698441887,0.035704732174891986,0.0695599238480756,0.7116018562578866,0.7690173337687048,0.21801242236024845,0.31801242236024846,4.342807453416149,6.334807453416149,1610,0.01683818607764391,0.0082010307978751,0.2735777193073212
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.005993098073518292,0.006414267874619363,0.0004841366025252657,0.0009076406009065715,0.5779440864578621,0.6016513880943616,0.051233396584440226,0.04364326375711575,1.0205692599620493,0.8693738140417456,527,0.005511629852744311,0.00977441402104439,0.2912789171020225
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.004161986988703489,0.004461492863942242,-3.200600838236818e-05,0.00026876124222760447,0.5304774874241168,0.5238406111487024,0.06733167082294264,0.04239401496259352,1.3412468827930173,0.8444887780548628,401,0.004193858768406961,0.011530181096624213,0.3107489885294685
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.005748060768944407,0.006828499807603625,0.0015712336002708417,0.0026562115359165285,0.6581970729709292,0.6993003014199295,0.055,0.08,1.0956,1.5936000000000001,400,0.004183400267737617,0.008160400646088077,0.30260939891277966
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.003197813446161904,0.00242359739729348,0.0013072995281418415,0.0005316151175104875,0.6563120830555753,0.5987135382127837,0.10497237569060773,0.07734806629834254,2.0910497237569063,1.5407734806629836,181,0.0018929886211512717,0.005177743569131012,0.25281443087587435
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.027543082595372418,0.026334328615497393,0.0028051068748566037,0.0015656038447449572,0.5248805776977236,0.5115904405515189,0.05775716694772344,0.045109612141652614,1.150522765598651,0.8985834738617201,2372,0.02480756358768407,0.006848077485734267,0.2927697905877138
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.01270689110154532,0.01582325615055383,0.0030413469311678996,0.006188221019245688,0.6466625432490897,0.7131286418903201,0.06472491909385113,0.03344120819848975,1.2893203883495146,0.6661488673139158,927,0.009695030120481929,0.007036558535663753,0.25453992313446255
10,2023-08-15T06:45:00+00:00,2023-08-15T06:45:00+00:00,2023-08-16T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.010879584380939299,0.020760325976890724,0.003206812185580649,0.013164200343659185,0.6770658675260283,0.7995678179302002,0.05434782608695652,0.16032608695652173,1.0826086956521739,3.1936956521739126,736,0.007697456492637216,0.006678741603806265,0.23290908167515065
11,2023-08-16T06:45:00+00:00,2023-08-16T06:45:00+00:00,2023-08-17T06:40:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.006147452054498777,0.010860720864900059,0.003218070757255521,0.007945231931801374,0.7590381697654665,0.8094338618996098,0.08896797153024912,0.2206405693950178,1.7722419928825621,4.395160142348754,281,0.002938838688085676,0.007008707763462588,0.23620474215283016
12,2023-08-17T06:45:00+00:00,2023-08-17T06:45:00+00:00,2023-08-18T00:00:00+00:00,common_terminal_heldout,True,False,21,7,1.0,0.0033648591392793237,0.010958230014751342,0.003007360344222031,0.010603455005788989,0.7980721716048498,0.7461806442355979,0.32,0.12,6.3744000000000005,2.3903999999999996,25,0.0003585771658060815,0.006817751864995186,0.24621018873708989
